day,time,longitude,latitude,altitude
2016-08-22,06:57:17,,,
2016-08-22,06:57:19,,,
2016-08-22,06:57:24,,,
2016-08-22,06:57:28,,,
2016-08-22,06:57:35,,,
2016-08-22,06:57:39,,,
2016-08-22,06:57:44,,,
2016-08-22,06:57:48,,,
2016-08-22,06:57:54,,,
2016-08-22,06:58:05,,,
2016-08-22,06:58:11,,,
2016-08-22,06:58:13,,,
2016-08-22,06:58:17,,,
2016-08-22,06:58:20,,,
2016-08-22,06:58:22,,,
2016-08-22,06:58:32,,,
2016-08-22,06:58:34,,,
2016-08-22,06:58:39,,,
2016-08-22,06:58:43,,,
2016-08-22,06:58:49,,,
2016-08-22,06:58:51,,,
2016-08-22,06:58:56,,,
2016-08-22,06:58:59,,,
2016-08-22,06:59:02,,,
2016-08-22,06:59:05,,,
2016-08-22,06:59:08,,,
2016-08-22,06:59:11,,,
2016-08-22,06:59:17,,,
2016-08-22,06:59:22,,,
2016-08-22,06:59:25,,,
2016-08-22,06:59:28,,,
2016-08-22,06:59:32,,,
2016-08-22,06:59:36,,,
2016-08-22,06:59:40,,,
2016-08-22,06:59:43,,,
2016-08-22,06:59:47,,,
2016-08-22,06:59:50,,,
2016-08-22,06:59:57,,,
2016-08-22,06:59:59,,,
2016-08-22,07:00:02,,,
2016-08-22,07:00:07,,,
2016-08-22,07:00:11,,,
2016-08-22,07:00:14,,,
2016-08-22,07:00:19,,,
2016-08-22,07:00:22,,,
2016-08-22,07:00:25,,,
2016-08-22,07:00:28,,,
2016-08-22,07:00:32,,,
2016-08-22,07:00:36,,,
2016-08-22,07:00:40,,,
2016-08-22,07:00:43,,,
2016-08-22,07:00:47,,,
2016-08-22,07:00:50,,,
2016-08-22,07:00:54,,,
2016-08-22,07:00:58,,,
2016-08-22,07:01:02,,,
2016-08-22,07:01:05,,,
2016-08-22,07:01:08,,,
2016-08-22,07:01:11,,,
2016-08-22,07:01:15,,,
2016-08-22,07:01:18,,,
2016-08-22,07:01:23,,,
2016-08-22,07:01:26,,,
2016-08-22,07:01:29,,,
2016-08-22,07:01:33,,,
2016-08-22,07:01:37,,,
2016-08-22,07:01:41,,,
2016-08-22,07:01:45,,,
2016-08-22,07:01:49,,,
2016-08-22,07:01:53,,,
2016-08-22,07:01:57,,,
2016-08-22,07:02:01,,,
2016-08-22,07:02:08,,,
2016-08-22,07:02:10,,,
2016-08-22,07:02:13,,,
2016-08-22,07:02:16,,,
2016-08-22,07:02:19,,,
2016-08-22,07:02:23,,,
2016-08-22,07:02:26,,,
2016-08-22,07:02:29,,,
2016-08-22,07:02:32,,,
2016-08-22,07:02:36,,,
2016-08-22,07:02:42,,,
2016-08-22,07:02:45,,,
2016-08-22,07:02:48,,,
2016-08-22,07:02:52,,,
2016-08-22,07:02:56,,,
2016-08-22,07:03:01,,,
2016-08-22,07:03:03,,,
2016-08-22,07:03:08,,,
2016-08-22,07:03:11,,,
2016-08-22,07:03:13,,,
2016-08-22,07:03:18,,,
2016-08-22,07:03:25,,,
2016-08-22,07:03:34,,,
2016-08-22,07:03:38,,,
2016-08-22,07:03:42,,,
2016-08-22,07:03:46,,,
2016-08-22,07:03:50,,,
2016-08-22,07:03:54,,,
2016-08-22,07:03:59,,,
2016-08-22,07:04:02,,,
2016-08-22,07:04:06,,,
2016-08-22,07:04:09,,,
2016-08-22,07:04:12,,,
2016-08-22,07:04:16,,,
2016-08-22,07:04:20,,,
2016-08-22,07:04:23,,,
2016-08-22,07:04:28,,,
2016-08-22,07:04:32,,,
2016-08-22,07:04:34,,,
2016-08-22,07:04:39,,,
2016-08-22,07:04:43,,,
2016-08-22,07:04:47,,,
2016-08-22,07:04:50,,,
2016-08-22,07:04:54,,,
2016-08-22,07:04:58,,,
2016-08-22,07:05:07,,,
2016-08-22,07:05:11,,,
2016-08-22,07:05:13,,,
2016-08-22,07:05:17,,,
2016-08-22,07:05:21,,,
2016-08-22,07:05:27,,,
2016-08-22,07:05:30,,,
2016-08-22,07:05:36,,,
2016-08-22,07:05:40,,,
2016-08-22,07:05:44,,,
2016-08-22,07:05:49,,,
2016-08-22,07:05:55,,,
2016-08-22,07:05:59,,,
2016-08-22,07:06:04,,,
2016-08-22,07:06:09,,,
2016-08-22,07:06:13,,,
2016-08-22,07:06:18,,,
2016-08-22,07:06:21,,,
2016-08-22,07:06:25,,,
2016-08-22,07:06:28,,,
2016-08-22,07:06:32,,,
2016-08-22,07:06:36,,,
2016-08-22,07:06:38,,,
2016-08-22,07:06:41,,,
2016-08-22,07:06:45,,,
2016-08-22,07:06:50,,,
2016-08-22,07:06:53,,,
2016-08-22,07:07:00,,,
2016-08-22,07:07:05,,,
2016-08-22,07:07:08,,,
2016-08-22,07:07:12,,,
2016-08-22,07:07:15,,,
2016-08-22,07:07:18,,,
2016-08-22,07:07:22,,,
2016-08-22,07:07:27,,,
2016-08-22,07:07:31,,,
2016-08-22,07:07:36,,,
2016-08-22,07:07:40,,,
2016-08-22,07:07:45,,,
2016-08-22,07:07:49,,,
2016-08-22,07:07:55,,,
2016-08-22,07:07:58,,,
2016-08-22,07:08:00,,,
2016-08-22,07:08:04,,,
2016-08-22,07:08:06,,,
2016-08-22,07:08:10,,,
2016-08-22,07:08:13,,,
2016-08-22,07:08:18,,,
2016-08-22,07:08:21,,,
2016-08-22,07:08:26,,,
2016-08-22,07:08:29,,,
2016-08-22,07:08:32,,,
2016-08-22,07:08:35,,,
2016-08-22,07:08:38,,,
2016-08-22,07:08:40,,,
2016-08-22,07:08:45,,,
2016-08-22,07:08:47,,,
2016-08-22,07:08:51,,,
2016-08-22,07:08:53,,,
2016-08-22,07:08:56,,,
2016-08-22,07:08:59,,,
2016-08-22,07:09:01,,,
2016-08-22,07:09:03,,,
2016-08-22,07:09:09,,,
2016-08-22,07:10:16,,,
2016-08-22,07:11:27,,,
2016-08-22,07:12:36,,,
